City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
79,Tasiilaq,GL,65.6145,-37.6368,32.16,58,26,4.61,scattered clouds
80,Eyrarbakki,IS,63.863,-21.1481,44.65,85,47,11.81,scattered clouds
81,Beaverlodge,CA,55.2166,-119.4361,49.35,81,99,7.9,overcast clouds
82,Faanui,PF,-16.4833,-151.75,81.19,72,17,11.72,few clouds
83,Butaritari,KI,3.0707,172.7902,81.23,80,31,13.13,light rain
84,Jefferson City,US,38.5767,-92.1735,64.31,48,100,12.66,overcast clouds
85,Provideniya,RU,64.3833,-173.3,33.3,85,98,13.78,overcast clouds
86,Pahrump,US,36.2083,-115.9839,84.43,6,0,7.0,clear sky
87,Ahipara,NZ,-35.1667,173.1667,69.57,59,4,5.08,clear sky
88,Ancud,CL,-41.8697,-73.8203,50.76,90,100,5.75,overcast clouds
89,Le Vauclin,MQ,14.5452,-60.8388,78.85,83,0,5.75,clear sky
90,Torbay,CA,47.6666,-52.7314,42.89,96,100,5.75,light rain
91,Beringovskiy,RU,63.05,179.3167,27.05,93,100,18.48,light snow
92,Alofi,NU,-19.0595,-169.9187,82.29,83,96,6.91,overcast clouds
93,Avarua,CK,-21.2078,-159.775,82.45,78,40,9.22,scattered clouds
94,Iqaluit,CA,63.7506,-68.5145,19.13,79,20,0.0,few clouds
95,Agadez,NE,19.75,10.25,84.58,9,88,7.74,overcast clouds
96,Mamou,GN,10.5,-12.0,71.82,89,36,1.63,scattered clouds
97,Kavieng,PG,-2.5744,150.7967,83.14,72,88,3.83,light rain
98,Kaniv,UA,49.7518,31.46,41.38,83,9,4.5,clear sky
99,Geraldton,AU,-28.7667,114.6,73.81,38,0,16.11,clear sky
100,Paso De Carrasco,UY,-34.8603,-56.0522,52.25,82,49,3.44,scattered clouds
101,Vaike-Maarja,EE,59.1264,26.25,30.65,91,55,5.53,broken clouds
102,Kaili,ID,-3.4626,120.2147,77.58,75,27,3.24,scattered clouds
103,Port Alfred,ZA,-33.5906,26.891,54.18,80,62,3.0,broken clouds
104,Upernavik,GL,72.7868,-56.1549,0.93,75,7,6.67,clear sky
105,Koungou,YT,-12.7336,45.2042,80.31,83,100,10.36,moderate rain
106,Eureka,US,40.8021,-124.1637,57.13,76,93,4.0,overcast clouds
107,Gulu,UG,2.7746,32.299,61.63,93,99,3.96,overcast clouds
108,Luena,AO,-11.7833,19.9167,54.43,71,29,4.85,scattered clouds
109,Celestun,MX,20.8667,-90.4,76.69,77,49,13.71,scattered clouds
110,Bengkulu,ID,-3.8004,102.2655,75.42,94,100,9.08,light rain
111,Arawa,PG,-6.2132,155.5367,85.6,71,43,2.98,light rain
112,Bathsheba,BB,13.2167,-59.5167,79.41,83,40,16.11,scattered clouds
113,Xiongyue,CN,40.1774,122.1228,55.47,41,98,9.6,overcast clouds
114,Winnemucca,US,40.973,-117.7357,64.45,27,20,5.75,few clouds
115,Kudahuvadhoo,MV,2.6708,72.8944,85.78,67,99,16.31,overcast clouds
116,Preobrazheniye,RU,42.9019,133.9064,40.69,88,100,3.38,overcast clouds
117,Zacatepec,MX,18.65,-99.2,89.65,24,100,5.06,overcast clouds
118,Pangnirtung,CA,66.1451,-65.7125,21.94,95,99,4.21,light snow
119,Maniitsoq,GL,65.4167,-52.9,20.71,76,3,10.76,clear sky
120,Carnarvon,AU,-24.8667,113.6333,77.07,44,0,11.5,clear sky
121,Vanimo,PG,-2.6741,141.3028,87.46,62,100,2.77,overcast clouds
